id;start_date;end_date;language
1;2020-11-19T07:37:03;2020-11-19T05:27:18;SPANISH
2;2020-11-18T12:27:14;2020-11-19T07:31:39;SPANISH
3;2020-11-19T03:22:33;2020-11-18T13:56:42;FRENCH
4;2020-11-18T18:40:04;2020-11-19T06:11:30;FRENCH
5;2020-11-19T04:10:22;2020-11-19T08:57:21;FRENCH
6;2020-11-18T22:02:43;2020-11-19T10:10:57;FRENCH
7;2020-11-18T23:48:03;2020-11-18T17:38:54;FRENCH
8;2020-11-18T22:44:16;2020-11-19T09:00:24;SPANISH
9;2020-11-18T21:25:25;2020-11-18T18:06:48;SPANISH
10;2020-11-19T05:37:29;2020-11-18T16:11:59;SPANISH
